T_F,P_sat_psia,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
150,3.7234,0.01634,96.929,117.98,940.98,1059.0,117.99,1007.8,1125.7,0.21508,1.65291,1.8680
160,4.7474,0.01639,77.185,127.98,934.05,1062.0,128.00,1001.8,1129.8,0.23136,1.61670,1.8481
170,5.9999,0.01645,61.982,138.00,927.08,1065.1,138.02,995.88,1133.9,0.24739,1.58155,1.8289
180,7.5197,0.01651,50.172,148.02,920.06,1068.1,148.04,989.85,1137.9,0.26318,1.54741,1.8106
190,9.3497,0.01657,40.920,158.05,912.99,1071.0,158.08,983.76,1141.8,0.27874,1.51421,1.7930
200,11.538,0.01663,33.613,168.10,905.87,1074.0,168.13,977.60,1145.7,0.29409,1.48191,1.7760
210,14.136,0.01670,27.798,178.15,898.68,1076.8,178.20,971.35,1149.5,0.30922,1.45046,1.7597
212,14.709,0.01671,26.782,180.16,897.24,1077.4,180.21,970.09,1150.3,0.31222,1.44427,1.7565
220,17.201,0.01677,23.136,188.22,891.43,1079.6,188.28,965.02,1153.3,0.32414,1.41980,1.7439
230,20.795,0.01684,19.374,198.31,884.10,1082.4,198.37,958.59,1157.0,0.33887,1.38989,1.7288
240,24.985,0.01692,16.316,208.41,876.70,1085.1,208.49,952.06,1160.5,0.35342,1.36069,1.7141
250,29.844,0.01700,13.816,218.54,869.21,1087.7,218.63,945.41,1164.0,0.36779,1.33216,1.6999
260,35.447,0.01708,11.760,228.68,861.62,1090.3,228.79,938.65,1167.4,0.38198,1.30425,1.6862
270,41.877,0.01717,10.059,238.85,853.94,1092.8,238.98,931.76,1170.7,0.39601,1.27694,1.6730
280,49.222,0.01726,8.6439,249.04,846.16,1095.2,249.20,924.74,1173.9,0.40989,1.25018,1.6601
290,57.573,0.01735,7.4607,259.26,838.27,1097.5,259.45,917.57,1177.0,0.42361,1.22393,1.6475
300,67.028,0.01745,6.4663,269.51,830.25,1099.8,269.73,910.24,1180.0,0.43720,1.19818,1.6354
310,77.691,0.01755,5.6266,279.79,822.11,1101.9,280.05,902.75,1182.8,0.45065,1.17289,1.6235
320,89.667,0.01765,4.9144,290.11,813.84,1104.0,290.40,895.09,1185.5,0.46396,1.14802,1.6120
330,103.07,0.01776,4.3076,300.46,805.43,1105.9,300.80,887.25,1188.1,0.47716,1.12355,1.6007
340,118.02,0.01787,3.7885,310.85,796.87,1107.7,311.24,879.22,1190.5,0.49024,1.09945,1.5897
350,134.63,0.01799,3.3425,321.29,788.16,1109.4,321.73,870.98,1192.7,0.50321,1.07570,1.5789
360,153.03,0.01811,2.9580,331.76,779.28,1111.0,332.28,862.53,1194.8,0.51607,1.05227,1.5683
370,173.36,0.01823,2.6252,342.29,770.23,1112.5,342.88,853.86,1196.7,0.52884,1.02914,1.5580
380,195.74,0.01836,2.3361,352.87,761.00,1113.9,353.53,844.96,1198.5,0.54152,1.00628,1.5478
390,220.33,0.01850,2.0842,363.50,751.58,1115.1,364.25,835.81,1200.1,0.55411,0.98366,1.5378
400,247.26,0.01864,1.8639,374.19,741.97,1116.2,375.04,826.39,1201.4,0.56663,0.96127,1.5279
410,276.69,0.01878,1.6706,384.94,732.14,1117.1,385.90,816.71,1202.6,0.57907,0.93908,1.5182
420,308.76,0.01894,1.5006,395.76,722.08,1117.8,396.84,806.74,1203.6,0.59145,0.91707,1.5085
430,343.64,0.01910,1.3505,406.65,711.80,1118.4,407.86,796.46,1204.3,0.60377,0.89522,1.4990
440,381.49,0.01926,1.2178,417.61,701.26,1118.9,418.97,785.87,1204.8,0.61603,0.87349,1.4895
450,422.47,0.01944,1.0999,428.66,690.47,1119.1,430.18,774.94,1205.1,0.62826,0.85187,1.4801
460,466.75,0.01962,0.99510,439.79,679.39,1119.2,441.48,763.65,1205.1,0.64044,0.83033,1.4708
470,514.52,0.01981,0.90158,451.01,668.02,1119.0,452.90,751.98,1204.9,0.65260,0.80885,1.4615
480,565.96,0.02001,0.81794,462.34,656.34,1118.7,464.43,739.91,1204.3,0.66474,0.78739,1.4521
490,621.24,0.02022,0.74296,473.77,644.32,1118.1,476.09,727.40,1203.5,0.67686,0.76594,1.4428
500,680.56,0.02044,0.67558,485.32,631.94,1117.3,487.89,714.44,1202.3,0.68899,0.74445,1.4334
510,744.11,0.02067,0.61489,496.99,619.17,1116.2,499.84,700.99,1200.8,0.70112,0.72290,1.4240
520,812.11,0.02092,0.56009,508.80,605.99,1114.8,511.94,687.01,1199.0,0.71327,0.70126,1.4145
530,884.74,0.02118,0.51051,520.76,592.35,1113.1,524.23,672.47,1196.7,0.72546,0.67947,1.4049
540,962.24,0.02146,0.46553,532.88,578.23,1111.1,536.70,657.31,1194.0,0.73770,0.65751,1.3952
550,1044.8,0.02176,0.42465,545.18,563.58,1108.8,549.39,641.47,1190.9,0.75000,0.63532,1.3853
560,1132.7,0.02207,0.38740,557.68,548.33,1106.0,562.31,624.91,1187.2,0.76238,0.61284,1.3752
570,1226.2,0.02242,0.35339,570.40,532.45,1102.8,575.49,607.55,1183.0,0.77486,0.59003,1.3649
580,1325.5,0.02279,0.32225,583.37,515.84,1099.2,588.95,589.29,1178.2,0.78748,0.56679,1.3543
590,1430.8,0.02319,0.29367,596.61,498.43,1095.0,602.75,570.04,1172.8,0.80026,0.54306,1.3433
600,1542.5,0.02362,0.26737,610.18,480.10,1090.3,616.92,549.67,1166.6,0.81323,0.51871,1.3319
610,1660.9,0.02411,0.24309,624.11,460.73,1084.8,631.52,528.03,1159.5,0.82645,0.49363,1.3201
620,1786.2,0.02464,0.22061,638.47,440.14,1078.6,646.62,504.92,1151.5,0.83998,0.46765,1.3076
630,1918.9,0.02524,0.19972,653.35,418.12,1071.5,662.32,480.07,1142.4,0.85389,0.44056,1.2944
640,2059.3,0.02593,0.18019,668.86,394.36,1063.2,678.74,453.14,1131.9,0.86828,0.41206,1.2803
650,2207.8,0.02673,0.16184,685.16,368.44,1053.6,696.08,423.65,1119.7,0.88332,0.38177,1.2651
660,2364.9,0.02767,0.14444,702.48,339.74,1042.2,714.59,390.84,1105.4,0.89922,0.34906,1.2483
670,2531.2,0.02884,0.12774,721.23,307.22,1028.5,734.74,353.54,1088.3,0.91636,0.31296,1.2293
680,2707.3,0.03035,0.11134,742.11,269.00,1011.1,757.32,309.57,1066.9,0.93541,0.27163,1.2070
690,2894.1,0.03255,0.09451,766.81,220.77,987.6,784.24,253.96,1038.2,0.95797,0.22089,1.1789
700,3093.0,0.03670,0.07482,801.75,146.50,948.3,822.76,168.32,991.1,0.99023,0.14514,1.1354
705.10,3200.1,0.04975,0.04975,866.61,0,866.6,896.07,0,896.1,1.05257,0,1.0526
