P_psia,T_sat_F,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
65,297.95,0.01743,6.6560,267.41,831.90,1099.3,267.62,911.75,1179.4,0.43443,1.20341,1.6378
70,302.91,0.01748,6.2075,272.50,827.90,1100.4,272.72,908.08,1180.8,0.44112,1.19078,1.6319
75,307.59,0.01752,5.8167,277.31,824.09,1101.4,277.55,904.58,1182.1,0.44741,1.17895,1.6264
80,312.02,0.01757,5.4733,281.87,820.45,1102.3,282.13,901.22,1183.4,0.45335,1.16783,1.6212
85,316.24,0.01761,5.1689,286.22,816.97,1103.2,286.50,898.00,1184.5,0.45897,1.15732,1.6163
90,320.26,0.01765,4.8972,290.38,813.62,1104.0,290.67,894.89,1185.6,0.46431,1.14737,1.6117
95,324.11,0.01770,4.6532,294.36,810.40,1104.8,294.67,891.89,1186.6,0.46941,1.13791,1.6073
100,327.81,0.01774,4.4327,298.19,807.29,1105.5,298.51,888.99,1187.5,0.47427,1.12888,1.6032
110,334.77,0.01781,4.0410,305.41,801.37,1106.8,305.78,883.44,1189.2,0.48341,1.11201,1.5954
120,341.25,0.01789,3.7289,312.16,795.79,1107.9,312.55,878.20,1190.8,0.49187,1.09646,1.5883
130,347.32,0.01796,3.4557,318.48,790.51,1109.0,318.92,873.21,1192.1,0.49974,1.08204,1.5818
140,353.03,0.01802,3.2202,324.45,785.49,1109.9,324.92,868.45,1193.4,0.50711,1.06858,1.5757
150,358.42,0.01809,3.0150,330.11,780.69,1110.8,330.61,863.88,1194.5,0.51405,1.05595,1.5700
160,363.54,0.01815,2.8347,335.49,776.10,1111.6,336.02,859.49,1195.5,0.52061,1.04405,1.5647
170,368.41,0.01821,2.6749,340.62,771.68,1112.3,341.19,855.25,1196.4,0.52682,1.03279,1.5596
180,373.07,0.01827,2.5322,345.53,767.42,1113.0,346.14,851.16,1197.3,0.53274,1.02210,1.5548
190,377.52,0.01833,2.4040,350.24,763.31,1113.6,350.89,847.19,1198.1,0.53839,1.01191,1.5503
200,381.80,0.01839,2.2882,354.78,759.32,1114.1,355.46,843.33,1198.8,0.54379,1.00219,1.5460
250,400.97,0.01865,1.8440,375.23,741.02,1116.3,376.09,825.47,1201.6,0.56784,0.95912,1.5270
300,417.35,0.01890,1.5435,392.89,724.77,1117.7,393.94,809.41,1203.3,0.58818,0.92289,1.5111
350,431.74,0.01912,1.3263,408.55,709.98,1118.5,409.79,794.65,1204.4,0.60590,0.89143,1.4973
400,444.62,0.01934,1.1617,422.70,696.31,1119.0,424.13,780.87,1205.0,0.62168,0.86350,1.4852
450,456.31,0.01955,1.0324,435.67,683.52,1119.2,437.30,767.86,1205.2,0.63595,0.83828,1.4742
500,467.04,0.01975,0.92819,447.68,671.42,1119.1,449.51,755.48,1205.0,0.64900,0.81521,1.4642
550,476.97,0.01995,0.84228,458.90,659.91,1118.8,460.93,743.60,1204.5,0.66107,0.79388,1.4550
600,486.24,0.02014,0.77020,469.46,648.88,1118.3,471.70,732.15,1203.9,0.67231,0.77400,1.4463
700,503.13,0.02051,0.65589,488.96,627.98,1116.9,491.62,710.29,1201.9,0.69279,0.73771,1.4305
800,518.27,0.02087,0.56920,506.74,608.30,1115.0,509.83,689.48,1199.3,0.71117,0.70502,1.4162
900,532.02,0.02124,0.50107,523.19,589.54,1112.7,526.73,669.46,1196.2,0.72793,0.67505,1.4030
1000,544.65,0.02159,0.44604,538.58,571.49,1110.1,542.57,650.03,1192.6,0.74341,0.64722,1.3906
1200,567.26,0.02232,0.36241,566.89,536.87,1103.8,571.85,612.39,1184.2,0.77143,0.59632,1.3677
1400,587.14,0.02307,0.30161,592.79,503.50,1096.3,598.76,575.66,1174.4,0.79658,0.54991,1.3465
1600,604.93,0.02386,0.25516,616.99,470.69,1087.7,624.06,539.18,1163.2,0.81972,0.50645,1.3262
1800,621.07,0.02470,0.21831,640.03,437.86,1077.9,648.26,502.35,1150.6,0.84144,0.46482,1.3063
2000,635.85,0.02563,0.18815,662.33,404.46,1066.8,671.82,464.60,1136.4,0.86224,0.42409,1.2863
2500,668.17,0.02860,0.13076,717.67,313.53,1031.2,730.90,360.79,1091.7,0.91311,0.31988,1.2330
3000,695.41,0.03433,0.08460,783.39,186.41,969.8,802.45,214.32,1016.8,0.97321,0.18554,1.1587
3200.1,705.10,0.04975,0.04975,866.61,0,866.6,896.07,0,896.1,1.05257,0,1.0526
